,ring_metal,Overall Condition,Gemstone Weights (carats),Ring Price (usd),Ring Gross Weight (grams),Ring Size,Diamond Average Color,Diamond Average Clarity,Diamond Shapes,Gems Shapes,Gem Average Clarity,Gem Type
26,"Fancy Intense Yellow Diamond, Diamond, Platinum, Gold ", Very Good,[5.87 1.12],3750000.0,9.6,6.0, D-E-F, VS,"[' Oval-shape, Full-cut']",[],,[]
27,"Emerald, Diamond, Platinum ", Very Good,[6.34 1.5  1.5  3.  ],3750000.0,17.85,6.0, G-H-I, VS,"[' Baguette-cut, Full-cut']",[' Octagonal-shaped'], Good,[' Emerald']
28,"Diamond, Gold ", Excellent,[3.11 3.08 2.5  8.69],3750000.0,19.02,7.0, M+, VS,"[' Round Brilliant-cut, Full-cut']",[],,[]
29,"Colored Diamond, Diamond, Gold ", Excellent,[4.69 4.95],3750000.0,6.4,5.0, G-H-I, VS,"[' Radiant, full cut']",[],,[]
30,"Diamond, Platinum ", Very Good,[3.89 0.15],3740000.0,4.5,6.0, G-H-I, SI,"[' Baguette-cut', ' Cut-Cornered Rectangular Step Cut']",[],,[]
31,"Fancy Intense Yellow Diamond, Diamond, Gold, Platinum ", Very Good,[4.33 1.75 4.33],3734375.0,8.5,6.0, G-H-I, VS,[],[],,[]
32,"Ceylon Sapphire, Diamond, Platinum ", Very Good,[19.43  1.34],3625000.0,18.6,6.0, G-H-I, VS,[' Full-cut'],[' Oval'],,[' Natural Corundum']
33,"Diamond, Gold ", Good,[2.69],3625000.0,3.9,5.0, D-E-F, VS,"[' Round Brilliant-cut', ' Round Brilliant']",[],,[]
34,"Diamond, Gold ", Very Good,[5.14 1.25 0.3 ],3625000.0,11.19,5.0, M+, SI,"[' European, Baguette, Full-cut']",[],,[]
35,"Diamond, Platinum ", Excellent,[6.98 0.32 7.3 ],3585000.0,6.7,5.0, J-K-L, VS,"[' Emerald-cut, Baguette-cut']",[],,[]
36,"Diamond, Platinum ", Very Good,[3.03 1.   3.03],3585000.0,7.6,, G-H-I, VS,[],[],,[]
37,"Diamond, Platinum ", Very Good,[],3585000.0,6.8,6.0,,,"[' Round, Baguette-cut']",[],,[]
38,"Diamond, Platinum ",,[],3585000.0,5.5,,,,"[' emerald, (2) trillion cut diamonds']",[],,[]
39,"Fancy Vivid Yellow Diamond, Diamond, Platinum ", Very Good,[3.04 0.65],3500100.0,6.6,5.0, G-H-I, SI,"[' Triangle', ' Cut-cornered Rectangular']",[],,[]
40,"Gentleman's Fancy Light Brownish-Greenish-Yellow Diamond, Diamond, Gold ", Very Good,[11.7   3.75],3500000.0,24.2,7.0, J-K-L, SI,"[' Full-cut', ' Hexagonal Mixed-cut']",[],,[]
41,"Diamond, Platinum ", Very Good,[5.69 0.4 ],3500000.0,5.4,5.0, J-K-L, VS,"[' Baguette', ' Round Brilliant']",[],,[]
42,"Diamond, White Gold ", Very Good,[2.74 0.7 ],3500000.0,4.3,6.0, G-H-I, SI,"[' Single-cut', ' Round Brilliant']",[],,[]
43,"Diamond, Enamel, Platinum, Gold, Yellow Metal ", Good,[],3500000.0,,,,,[],[],,[]
44,"Diamond, Gold ", Very Good,[2.28],3500000.0,5.8,7.0, D-E-F, VVS,[' Round Brilliant-cut'],[],,[]
45,"Sapphire, Diamond, Platinum, Gold ", Very Good,[25.18  0.8 ],3500000.0,11.27,6.0, G-H-I, VS,"[' Trapezoid-shaped, Bullet-shaped']",[' Cushion-cut'], Good,[' Sapphire']
46,"Diamond, Platinum ", Very Good,[6.  0.5],3500000.0,5.7,7.0, M+, VS,"[' Emerald-cut, Tapered Baguette-cut']",[],,[]
47,"Colored Diamond, Gold ", Very Good,[6.05 1.65 7.7 ],3400000.0,16.1,4.0,, VS,"[' Square-cut, Full-cut']",[],,[]
48,"Diamond, Platinum ", Good,[5.28 1.6 ],3375000.0,12.2,6.0, J-K-L, SI,"[' Tapered Baguette', ' Round Brilliant']",[],,[]
49,"Diamond, Platinum ", Very Good,[5.03 0.7 ],3375000.0,13.0,5.0, G-H-I, VS,"[' Baguette', ' Round Brilliant']",[],,[]
50,"Gentleman's Diamond, White Gold ", Very Good,[5.56 2.25 1.75],3375000.0,26.71,, G-H-I, VS,"[' Full, Radiant, Baguette']",[],,[]
51,"Colombian Emerald, Diamond, Platinum ", Very Good,[18.84  0.2   0.25],3375000.0,11.7,5.0, G-H-I, SI,"[' Single-cut, Baguette-cut']",[' Emerald-cut'],,[' Emerald']
52,"Gentleman's Diamond, Gold ", Very Good,[],3346000.0,24.7,10.0,,,[' Emerald'],[],,[]
53,"Diamond, White Gold ", Good,[7.47 0.9 ],3250000.0,15.18,8.0, J-K-L, SI,"[' Round Brilliant, Single-cut', ' Round Brilliant']",[],,[]
54,"Diamond, White Gold ", Very Good,[6.06 2.1 ],3250000.0,19.9,, J-K-L, SI,"[' Full-cut', ' Pear Brilliant']",[],,[]
55,"Diamond, White Gold ", Very Good,[4.02 0.8  0.6 ],3250000.0,9.9,6.0, G-H-I, VS,"[' radiant, baguette, tapered baguette-cut', ' Rectangular Modified Brilliant']",[],,[]
56,"Diamond, Platinum Eternity ", Very Good,[5.08 1.6  1.6 ],3250000.0,17.62,, J-K-L, SI,"[' Pear, Full-cut', ' Pear']",[],,[]
57,"Diamond, Platinum ", Very Good,[2.45 0.95],3250000.0,7.8,6.0, G-H-I, VS,"[' Round Brilliant-cut, Bullet-cut']",[],,[]
58,"Tourmaline, Diamond, Platinum ", Very Good,[17.63  0.6   0.55],3250000.0,18.8,6.0, G-H-I, VS,"[' Emerald-cut, Full-cut']","[' Cushion-shaped', ' Cushion']",,"[' Paraiba Tourmaline', ' Natural Tourmaline, Paraiba-Type']"
59,"Fancy Intense Yellow Diamond, Diamond, Platinum, Gold ", Excellent,[3.04 1.02],3250000.0,6.28,6.0, G-H-I, VS,"[' Oval-cut, Full-cut']",[],,[]
60,"Ruby, Diamond, Platinum, Gold ", Very Good,[3.8  3.   3.   0.15],3250000.0,13.17,5.0, D-E-F, VS,"[' Pear-shaped, Round Brilliant-cut, Full-cut']",[' Cushion-shaped'], Good,[' Ruby']
61,"Art Deco Ruby, Diamond, Platinum ", Good,[4.   1.75],3250000.0,5.0,7.0, J-K-L, I,"[' European-cut, Full-cut']","[' Oval-cut, Calibre-cut']", Good,[' Ruby']
62,"Colombian Emerald, Diamond, Gold ", Very Good,[9.3  1.25],3250000.0,6.8,5.0, G-H-I, SI,"[' Full-cut, Baguette-cut']",[' Emerald-cut'], Good,[' Emerald']
63,"Art Deco Diamond, Ruby, Platinum ", Good,[2.25 0.7 ],3250000.0,3.6,5.0, G-H-I, SI,"[' marquise-cut, single-cut']",[' square-shaped'], Good,[' ruby']
64,"Burmese Ruby, Sapphire, Diamond, Gold ", Very Good,[3.2  0.75 1.55],3250000.0,8.0,6.0, G-H-I, SI,[' Full-cut'],[' Oval-shaped'], Good,"[' Ruby, Sapphire']"
65,"Diamond, White Gold ", Very Good,[ 6.9  3.5 10.4],3250000.0,20.9,5.0, J-K-L, SI,"[' Pear-cut, Full-cut']",[],,[]
66,"Art Deco Cat's Eye Chrysoberyl, Diamond, Platinum ",,[],3226500.0,17.2,7.0,,,[' Baguette and Single-Cut'],[],,[]
67,"Diamond, Platinum ", Very Good,[4.07 4.07],3190000.0,5.7,7.0, D-E-F, VVS,"[' Emerald, Baguette']",[],,[]
68,"Diamond, White Gold ", Very Good,[3.03 1.84],3125000.0,7.1,6.0, G-H-I, SI,"[' round brilliant', ' Round Brilliant']",[],,[]
69,"Diamond, Platinum ", Very Good,[4.28 0.65],3125000.0,5.0,4.0, G-H-I, VS,"[' tapered baguette', ' Emerald-cut']",[],,[]
70,"Alexandrite, Diamond, Platinum, Gold ", Very Good,[3.  0.5],3125000.0,11.7,6.0, G-H-I, VS,[' Full-cut'],"[' Rectangular cushion', ' Cushion']",,"[' Alexandrite', ' Natural Chrysoberyl']"
71,"Fancy Light Yellow Diamond, Diamond, White Gold ", Very Good,[8.94 1.5 ],3125000.0,11.1,, G-H-I, I,[' Cushion-cut'],[],,[]
72,"Emerald, Diamond, Platinum, Gold ", Very Good,[6.33 1.25],3125000.0,8.6,6.0, G-H-I, VS,[' Half-moon-cut'],[' Cushion-cut'], Fine,[' Emerald']
73,"Diamond, Sapphire, White Gold ", Very Good,[3.06 3.59 1.15],3125000.0,7.47,6.0, J-K-L, VS,[' Round Brilliant-cut'],[' Round'], Good,[' Sapphire']
74,"Ruby, Diamond, Platinum, Gold ", Very Good,[7.36 1.22],3125000.0,6.6,6.0, G-H-I, VVS,[' Half-moon-cut'],[' Oval-shaped'], Good,[' Ruby']
75,"Conch Pearl, Diamond, Gold ", Good,[0.69],3125000.0,6.6,5.0, G-H-I, SI,"[' Marquise-cut, Pear-shaped']",[' Oval-shaped'], Good,[' Conch Pearl']
76,"Ruby, Diamond, Platinum ", Excellent,[6.22 1.06],3125000.0,7.0,5.0, G-H-I, VS,[' Half Moon-shaped'],[' Oval-shaped'], Good,[' Ruby']
77,"Colored Diamond, Diamond, White Gold ", Good,[7.45 1.5  8.9 ],3107000.0,13.4,6.0, G-H-I, SI,"[' Radiant-cut, Full-cut']",[],,[]
78,"Burmese Sapphire, Diamond, Platinum ",,[],3107000.0,9.4,7.0,,,[' Baguette'],[],,[]
79,"Diamond, Platinum, White Gold ", Very Good,[4.03],3062500.0,7.6,5.0,,,[' Round Brilliant'],[],,[]
80,"Diamond, Platinum ", Very Good,[4.74 0.45],3000000.0,5.4,7.0,,,[' Round Brilliant'],[],,[]
81,"Ceylon Sapphire, Diamond, Gold ", Very Good,[7.3 1.5 0.4],3000000.0,7.0,5.0, D-E-F, VVS,"[' Full-cut, Pear-shaped']",[' Oval Modified Mixed Cut'],,[' Natural Corundum']
82,"Ceylon Yellow Sapphire, Diamond, Platinum, Gold ", Very Good,[35.  3.],3000000.0,19.8,7.0, G-H-I, VS,[' Full-cut'],[' Oval'],,[' Yellow Sapphire']
83,"Diamond, Platinum ", Very Good,[7.48 0.35],3000000.0,9.1,6.0, J-K-L, SI,"[' Baguette-cut', ' Marquise']",[],,[]
84,"Diamond, Platinum ", Very Good,[2.37],3000000.0,9.15,7.0, G-H-I, VS,"[' Tapered Baguette', ' Pear']",[],,[]
85,"Diamond, Gold ", Very Good,[7.43 0.3 ],3000000.0,13.5,7.0, M+, I,"[' Round Brilliant, Full-cut']",[],,[]
86,"Diamond, Gold ", Very Good,[3.84],3000000.0,3.9,5.0, D-E-F, VVS,"[' Emerald-cut', ' Emerald-cut']",[],,[]
87,"Diamond, Platinum ", Very Good,[5.25],3000000.0,6.7,6.0, M+, VS,"[' Round Brilliant-cut', ' Round Brilliant-cut']",[],,[]
88,"Fancy Yellow Diamond, Diamond, Platinum, Gold Eternity Band", Very Good,[11.18  1.72],3000000.0,15.57,, G-H-I, VS,"[' Cushion-cut, Full-cut']",[],,[]
89,"Diamond, Platinum Eternity Band, Van Cleef & Arpels", Very Good,[6.],3000000.0,16.65,, G-H-I, VS,[' Full-cut'],[],,[]
90,"Art Deco Colored Diamond, Diamond, Platinum ", Good,[7.  0.3],3000000.0,7.76,6.0, G-H-I, I,[' European-cut'],[],,[]
91,"Sapphire, Diamond, Platinum ", Very Good,[10.45  0.9 ],3000000.0,9.2,6.0, G-H-I, VS,[' Trapezoid-shaped'],[' Oval-shaped'], Fine,[' Sapphire']
92,"Diamond, Enamel, Gold ", Very Good,[3.55 2.35 1.  ],3000000.0,15.89,, J-K-L, VS,"[' Round Brilliant-cut, Radiant-cut, Baguette-cut']",[],,[]
93,"Fancy Intense Yellow Diamond, Diamond, Platinum, Gold ", Excellent,[2.38 0.63 0.65],3000000.0,7.45,7.0, G-H-I, VS,"[' Radiant-cut, Full-cut']",[],,[]
94,"Diamond, Platinum ", Very Good,[3.14 0.5 ],3000000.0,7.38,7.0, J-K-L, VVS,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
95,"Colored Diamond, Diamond, Platinum, Gold ", Excellent,[4.04 1.01],2987500.0,,6.0, G-H-I, VS,"[' Radiant-cut, Full-cut']",[],,[]
96,"Diamond, Platinum, Gold ", Excellent,[3.25 1.4  0.11 0.4  0.5  5.16],2987500.0,12.52,5.0, G-H-I, VS,"[' Emerald-cut, Radiant-Cut, Full-cut']",[' Square'], Fine,[' Blue Sapphire']
97,"Diamond, Platinum ", Very Good,[3.04 0.35],2970000.0,6.07,6.0, J-K-L, VVS,"[' European-cut, Full-cut']",[],,[]
98,"Diamond, Platinum ", Good,[4.55 0.5 ],2875000.0,7.9,6.0, G-H-I, SI,"[' Tapered baguette', ' Round Brilliant']",[],,[]
99,"Diamond, Platinum ", Good,[4.67 1.3 ],2875000.0,9.2,5.0, J-K-L, I,"[' Triangular', ' Oval']",[],,[]
100,"Diamond, Gold ", Very Good,[3.23],2875000.0,19.7,8.0, G-H-I, VVS,"[' round brilliant', ' round brilliant']",[],,[]
101,"Diamond, Yellow Sapphire, Gold Eternity ",,[6.04 2.9 ],2875000.0,16.2,,,,"[' Round Brilliant-cut', ' Round Brilliant-cut']",[],,[]
102,"Colored Diamond, Diamond, Platinum ", Very Good,[6.13 3.28],2875000.0,12.0,6.0,, VS,"[' Pear-shaped, Full-cut']",[],,[]
103,"Colored Diamond, Diamond, Gold, Platinum ", Very Good,[5.02 0.5  2.25 7.77],2868000.0,14.1,8.0, G-H-I, VS,"["" Square-shaped, Full-cut, Calf's Head-cut""]",[],,[]
104,"Diamond, White Gold ", Very Good,[4.35 1.35 5.7 ],2868000.0,12.15,5.0, G-H-I, VS,"[' Round brilliant-cut, full-cut and radient-cut']",[],,[]
105,"Diamond, Gold ", Very Good,[5.   5.75],2868000.0,25.3,5.0, J-K-L, VS,"[' Emerald-cut, Full-cut']",[],,[]
106,"Art Deco Diamond, White Gold ", Very Good,[5.85],2868000.0,8.2,5.0, J-K-L, VS,[' European-cut'],[],,[]
107,"Fancy Yellow Diamond, Diamond, Platinum, Gold ", Good,[4.69 2.03],2750000.0,9.7,5.0, D-E-F, SI,"[' Oval', ' Oval Modified Brilliant', ' Oval', ' Oval']",[],,[]
108,"Paraiba Tourmaline, Diamond, Gold ", Very Good,[1.75 2.01 0.58],2750000.0,11.0,6.0, G-H-I, VS,"[' Full, Square-cut']",[],,[]
109,"Diamond, Gold ", Very Good,[3.62 1.  ],2750000.0,6.4,6.0, J-K-L, VS,"[' tapered baguette', ' Marquise']",[],,[]
110,"Diamond, Platinum ", Very Good,[3.09 1.5 ],2750000.0,6.6,5.0, G-H-I, SI,"[' Triangular', ' Emerald-cut']",[],,[]
111,"Fancy Purple-Pink Diamond, Pink Gold ", Very Good,[0.98],2750000.0,2.5,6.0,, I,"[' Round-cornered Square Modified Brilliant', ' Round-Cornered Square Modified Brilliant']",[],,[]
112,"Fancy Intense Yellow Diamond, Diamond, Emerald, Gold ", Very Good,[2.93 1.85 1.16],2750000.0,11.2,6.0, D-E-F, VS,"[' Radiant, Full-cut']",[' Baguette'], Good,[' Emerald']
113,"Diamond, Platinum ", Very Good,[3.99 0.4 ],2750000.0,6.0,5.0, G-H-I, VS,"[' Pear-shaped, Tapered Baguette-cut']",[],,[]
114,"Diamond, Platinum ", Very Good,[2.96 1.5  0.3 ],2750000.0,9.0,5.0, G-H-I, VS,"[' Emerald-cut, Trinagle-shaped, Tapered Baguette-cut']",[],,[]
115,"Diamond, Platinum ", Very Good,[5. 1.],2750000.0,9.5,5.0, J-K-L, SI,[' pear-shaped'],[],,[]
116,"Colored Diamond, Diamond, Platinum, Gold ", Very Good,[3.38 0.68],2750000.0,7.2,6.0, D-E-F, VS,"[' Radiant, Fancy-cut']",[],,[]
117,"Diamond, Gold ", Very Good,[5.  0.5 5.5],2750000.0,18.9,5.0, J-K-L, SI,"[' Marquise-cut, Full-cut']",[],,[]
118,"Diamond, Platinum ", Very Good,[4.01],2700000.0,4.7,6.0,,,[' Cushion Modified Brilliant'],[],,[]
119,"Alexandrite, Diamond, Platinum ", Good,[8.35 0.75],2629000.0,9.15,6.0, G-H-I, SI,"[' Full-cut, Single-cut']",[' Oval-shaped'], Good,[' Alexandrite']
120,"Colored Diamond, Diamond, Platinum ", Very Good,[ 1.05  1.    0.6   6.4   0.9  10.55],2629000.0,11.05,6.0, D-E-F, VS,"[' Pear-shape, Marquise-cut, Baguette-cut, Tapered Baguette-cut']",[],,[]
121,"Fancy Yellow Diamond, Diamond, Platinum, Gold ", Very Good,[4.27 1.43 4.27],2629000.0,11.6,6.0, G-H-I, SI,[],[],,[]
122,"Diamond, White Gold ", Very Good,[5.75 1.  ],2625000.0,7.1,6.0, G-H-I, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
123,"Diamond, White Gold ", Very Good,[3.42 0.1 ],2625000.0,4.0,6.0, G-H-I, VS,"[' Full-cut', ' Modified Marquise']",[],,[]
124,"Diamond, Gold ", Very Good,[2.5 0.5],2625000.0,6.5,7.0, G-H-I, VS,"[' Triangle', ' Round Brilliant']",[],,[]
125,"Fancy Light Yellow Diamond, Diamond, White Gold ", Very Good,[4.01 0.5  4.51],2562625.0,5.7,7.0, G-H-I, VS,"[' Radiant-cut, Full-cut']",[],,[]
126,"Diamond, White Gold ", Very Good,[3.25],2509500.0,5.4,5.0, G-H-I, VS,[' Emerald-cut'],[],,[]
127,"Aquamarine, Diamond, Platinum ", Good,[14.46  0.92],2500000.0,13.7,7.0, D-E-F, VVS,[' Full-cut'],[' Round'],,[' Aquamarine']
128,"Diamond, Platinum ", Very Good,[2.23 0.2 ],2500000.0,4.7,7.0, G-H-I, VS,"[' Transitional', ' Round Brilliant']",[],,[]
129,"Sapphire, Diamond, White Gold ", Very Good,[11.5   2.35],2500000.0,9.3,7.0, G-H-I, VS,[' Round'],"[' Oval', ' Oval']",,[' Sapphire']
130,"Colored Diamond, Diamond, Platinum, Gold ", Very Good,[2.08 2.65],2500000.0,7.2,, G-H-I, VS,"[' Full-cut', ' Modified Cushion']",[],,[]
131,"Diamond, Platinum ", Very Good,[2.1  1.82 1.28 1.25 0.3  6.75],2500000.0,9.7,7.0, G-H-I, VS,"[' full-cut', ' Round Brilliant', ' Round Brilliant', ' Old European Brilliant', ' Round Brilliant']",[],,[]
132,"Purplish Red Spinel, Diamond, Gold ", Very Good,[16.51  3.72],2500000.0,12.9,6.0, G-H-I,,[' Full-cut'],[' Pear Modified Brilliant Cut'],,[' Natural Spinel']
133,"Pink Sapphire, Diamond, Platinum ", Very Good,[6.54 0.4 ],2500000.0,13.4,6.0, G-H-I, SI,[' Full-cut'],[' Oval'],,[' Natural Corundum']
134,"Padparadscha Sapphire, Diamond, White Gold ", Very Good,[5.235 1.65 ],2500000.0,9.11,6.0, G-H-I, VS,[' Full-cut'],"[' Oval', ' Oval', ' Oval']",,"[' Sapphire', ' Natural Corundum--Padparadscha', ' Natural Padparadscha']"
135,"Diamond, Platinum ", Very Good,[2.48 0.35],2500000.0,4.2,6.0, G-H-I, VS,"[' Baguette-Cut', ' Pear']",[],,[]
136,"Diamond, Platinum ", Very Good,[2.11 0.24],2500000.0,4.87,4.0, G-H-I, VS,"[' Full-cut', ' Round Brilliant']",[],,[]
137,"Diamond, Platinum ", Very Good,[3.03 0.5 ],2500000.0,5.7,6.0, G-H-I, VS,"[' Marquise-cut, Tapered Baguette-cut', ' Marquise']",[],,[]
138,"Yellow Sapphire, Diamond, Gold ", Very Good,[26.    0.85],2500000.0,12.0,6.0, J-K-L, I,[' Full-cut'],[' Oval-shaped'], Fine,[' Yellow Sapphire']
139,"Emerald, Diamond, Platinum, Gold ", Very Good,[0.95],2500000.0,39.0,6.0, G-H-I, VS,[' Full-cut'],[' Carved'], Fair,[' Emerald']
140,"Emerald, Diamond, Platinum, Gold ", Very Good,[5.63 1.1 ],2500000.0,6.9,6.0, G-H-I, I,[' Trapeze-cut'],[' Emerald-cut'],,[' Emerald']
141,"Colored Diamond, Diamond, Ruby, Gold ", Excellent,[4.79 1.2  0.9 ],2500000.0,12.3,6.0, G-H-I, VS,"[' Marquise Brilliant-cut, Tapered Baguette-cut']",[' Tapered Baguette-cut'], Fine,[' Ruby']
142,"Diamond, Platinum ", Very Good,[2.56 3.56],2500000.0,6.4,, D-E-F, VVS,"[' Square Modified Brilliant-cut, Triangle-cut']",[],,[]
143,"Burma Sapphire, Diamond, Platinum ", Very Good,[5.06 0.6 ],2500000.0,7.3,7.0, D-E-F, VS,[' Pear'],[' Oval'], Fine,[' Sapphire']
144,"Diamond, Gold ", Very Good,[2.47],2500000.0,7.51,, D-E-F,,[' Emerald-cut'],[],,[]
145,"Diamond, Gold ", Very Good,[],2500000.0,,6.0, J-K-L, VVS,[' Rectangle-shaped'],[],,[]
146,"Diamond, Platinum ", Very Good,[2.02 0.2 ],2500000.0,4.47,3.0, D-E-F, IF,"[' Pear-shaped, Tapered Baguette-cut']",[],,[]
147,"Cat's-Eye Chrysoberyl, Diamond, Platinum ", Very Good,[21.35  3.43],2500000.0,19.7,8.0, G-H-I, SI,[' Tapered Baguette-cut'],[' Oval-shaped cabochon'], Fine,"["" Cat's-Eye Chrysoberyl""]"
148,"Diamond, Platinum ", Very Good,[3.2  1.55],2437500.0,10.5,, G-H-I, SI,"[' trapezoid, full-cut', ' Emerald-cut']",[],,[]
149,"Sapphire, Diamond, Platinum ", Good,[47.   1.5],2400000.0,19.9,4.0, G-H-I, VS,[' Triangle-cut'],[' Cushion-cut'], Fair,[' Sapphire']
150,"Diamond, White Gold ", Excellent,[3.79],2390000.0,4.3,6.0, J-K-L, VS,[' Round Brilliant-cut'],[],,[]
151,"Diamond, Gold ", Very Good,[4. 5.],2390000.0,9.0,5.0, J-K-L, SI,"[' Round Brilliant, Baguette']",[],,[]
152,"Diamond, Platinum ", Very Good,[ 5. 10.],2390000.0,17.2,7.0, J-K-L, SI,"[' Pear, Oval']",[],,[]
153,"Gentleman's Diamond, Gold ", Very Good,[],2390000.0,23.4,9.0,,,[' Round'],[],,[]
154,"Yellow Sapphire, Diamond, Platinum, Gold ",,[],2390000.0,10.0,,,,"[' kite', ' oval']",[],,[]
155,"Ruby, Diamond, Platinum ",,[],2390000.0,28.0,,,,[' Full Cuts'],[],,[]
156,"Diamond, Gold ", Very Good,[5.02 0.35],2375000.0,8.4,6.0, G-H-I, VS,"[' Baguette-cut', ' Round Brilliant']",[],,[]
157,"Diamond, Platinum ", Very Good,[5.03 0.25],2375000.0,7.3,6.0, G-H-I, SI,"[' Baguette-cut', ' Marquise Brilliant']",[],,[]
158,"Diamond, Platinum ", Very Good,[3. 1.],2375000.0,6.8,5.0, G-H-I, SI,"[' Triangle-shaped', ' Cut-Cornered Rectangular Modified Brilliant']",[],,[]
159,"Gentleman's Diamond, Platinum, Gold ", Very Good,[4.5],2375000.0,37.2,11.0,,,[' Round Brilliant'],[],,[]
160,"Colombian Emerald, Diamond, Gold ", Very Good,[14.   1.9],2375000.0,12.3,4.0, G-H-I, SI,[' Full-cut'],[' Emerald-cut'],,[' Natural Beryl']
