,Condition Report,Description,Sold Price
16,"Condition Report*:
Diamonds:

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 11800307
Carat: 2.12
Color: G
Clarity: VVS2
Shape: Cut-Cornered Square Mixed Cut

Stone: 2
Lab: GIA
Certification #: 11588508
Carat: 1.02
Color: G
Clarity: VVS1
Shape: Cut-Cornered Square Mixed Cut

Stone: 3
Lab: GIA
Certification #: 11562551
Carat: 1.01
Color: G
Clarity: VVS1
Shape: Cut-Cornered Square Mixed Cut

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: Marked © 2000 Tiffany & Co. Lucida ® PT 950 17385658 Pat 5970744 et al. Accompanied by a Tiffany & Co. Diamond Certificate and receipt.","Lucida® Diamond, Platinum Ring, Tiffany & Co.
The ring features a Lucida® diamond measuring 7.40 x 7.37 x 5.16 mm and weighing 2.12 carats, flanked by two Lucida® diamonds measuring 5.81 x 5.77 x 4.12 mm and 5.72 x 5.72 x 4.11 and weighing respectively 1.01 carats and 1.02 carats, set in platinum, marked Tiffany & Co. A GIA report #11800307, dated January 09, 2002, stating G color, VVS2 clarity, accompanies the center stone. GIA report # 11562551, dated January 16, 2002, and GIA report # 11588508, dated April 30, 2002, both stating G color, VVS1 clarity, accompany the side stones. Gross weight 8.70 grams.
Size: 5-1/2 (sizeable)","SOLD ON DEC 4, 2017 FOR: $37,500.00"
17,"Condition Report*:
Diamonds:

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 1186506210
Carat: 5.19
Color: N
Clarity: VVS2
Shape: Round Brilliant

Overall Condition: Very Good
Condition Notes: A sizeable diamond. Marked 14K.","Gentleman's Diamond, Gold Ring
The ring centers a round brilliant-cut diamond measuring 11.23 - 11.35 x 6.58 mm and weighing 5.19 carats, set in 14k gold. Accompanied by GIA report # 1186506210, dated June 14, 2017, stating N color, VVS2 clarity. Gross weight 13.21 grams.
Size: 8 (sizeable)


Property of a Collector","SOLD ON SEP 25, 2017 FOR: $37,500.00"
18,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Round Brilliant-cut
Count: 1 - 25

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 2175967288
Carat: 4.08
Color: J
Clarity: VS1
Shape: Round Brilliant

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: The perfect diamond ring. Tests as platinum. Horseshoe sizer inside shank would have to be removed before sizing.","Diamond, Platinum Ring
The ring features a round brilliant-cut diamond measuring 10.33 - 10.38 x 6.26 mm weighing 4.08 carats, set in platinum. Accompanied by a GIA Laboratory report # 2175967288, dated October 20, 2016, stating J color, VS1 clarity. Gross weight 5.90 grams.
Size: 5-1/2 (sizeable)

Property from the Estate of Earle M. Chiles","SOLD ON DEC 5, 2016 FOR: $37,500.00"
19,"Condition Report*:
Diamonds:
Colored Diamond Color: Fancy Intense Yellow
Avg Color: G-H-I
Avg Clarity: SI
Shape(s): Oval-shaped
Count: 1 - 25

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 1172186081
Carat: 3.03
Color: Fancy Intense Yellow
Clarity: SI1
Shape: Oval-shaped

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: A mesmerizing fancy intense yellow diamond! Marked PLAT. Oval-shaped diamonds measure 5.85 x 3.65 x 2.10 mm and fall into the VS clarity range. Scratches on the shank can be buffed. An Oscar Heyman Certificate of Authenticity stating the serial #504080 and actual stone weights accompanies the ring.","Fancy Intense Yellow Diamond, Diamond, Platinum Ring, Oscar Heyman Bros.
The ring features an oval-shaped fancy intense yellow diamond measuring 10.41 x 7.36 x 4.94 mm and weighing 3.03 carats, flanked by oval-shaped diamonds weighing a total of 0.80 carat, set in platinum. A GIA Laboratory report # 1172186081, dated June 5, 2015, stating Natural Fancy Intense Yellow color, SI1 clarity, accompanies the center diamond. Gross weight 6.30 grams.
Size: 5 (sizeable)

Property from the Personal Collection of Shirley Temple Black","SOLD ON DEC 5, 2016 FOR: $37,500.00"
20,"Condition Report*:
Diamond Average Color: D-E-F
Diamond Certification No: 8563165
Diamond Lab: GIA
Diamond Average Clarity: SI
Diamond Shapes: Cut Cornered Rectangular Modified Brilliant, Radiant-cut
Diamond Count: 1 - 25
Overall Condition: Very Good
Notes: A magnificent diamond ring! Marked: 14K. Accent diamonds fall in the VS clarity range.","Diamond, Gold Ring
The ring features a cut-cornered rectangular modified brilliant-cut diamond measuring 9.83 x 8.55 x 6.01 mm and weighing 4.03 carats, enhanced by radiant-cut diamonds weighing a total of approximately 1.70 carats, set in 14k gold. Total diamond weight is approximately 5.73 carats. A GIA Laboratory report # 8563165, dated January 22, 2016, stating D color, SI1 clarity, accompanies the center stone. Gross weight 10.72 grams.
Size: 6-1/2 (sizeable)


Property of a Texas Lady","SOLD ON APR 19, 2016 FOR: $37,500.00"
21,"Condition Report*:
Diamond Average Color: M+
Diamond Average Clarity: SI
Diamond Shapes: Pear, Tapered Baguette-cut
Diamond Count: 1 - 25
Overall Condition: Very Good
Notes: Center diamond has a lot of pop. Evidence of sizing. Remnants of a number marked inside shank, 271. Diamond has been weighed outside of mounting. Ring is not marked, but tests as platinum.","Diamond, Platinum Ring
The ring features a pear-shaped diamond measuring 16.44 x 11.38 x 5.11 mm and weighing 5.67 carats, enhanced by tapered baguette-cut diamonds weighing a total of approximately 0.40 carat, set in platinum. Gross weight 5.32 grams.
Size: 4-3/4 (sizeable)","SOLD ON MAY 4, 2015 FOR: $37,500.00"
22,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Certification No: 2151482560
Diamond Lab: GIA
Diamond Average Clarity: VS
Diamond Shapes: Emerald-cut, baguette-cut
Diamond Count: 1 - 25
Overall Condition: Very Good
Notes: Also accompanied by EGL Report # EGL2822517229, dated February 20, 2008, stating ""F"" color, ""VS-1"" clarity.","Diamond, White Gold Ring
The ring centers an emerald-cut diamond measuring 10.42 x 7.74 x 5.58 mm and weighing 4.39 carats, enhanced by baguette-cut diamonds weighing a total of approximately 2.70 carats, set in 18k white gold. A GIA Laboratory report # 2151482560, dated June 3, 2013, stating J color, VS2 clarity, accompanies the center stone. Gross weight 12.40 grams.
Size: 6-3/4 (sizeable)","SOLD ON MAY 4, 2015 FOR: $37,500.00"
23,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Certification No: 6147922581
Diamond Lab: GIA
Diamond Average Clarity: VS
Diamond Shapes: Cushion Modified Brilliant-cut, Full-cut
Diamond Count: 100+
Overall Condition: Very Good
Notes: GIA certificate indicates that the diamond is laser inscribed with the certificate number, and it is visible on the girdle of the diamond with magnification. There is a small section of metal at the base of the ring for sizing purposes, though caution is recommended due to the nature of the diamonds set down the sides of the ring.","Diamond, Platinum Ring
The ring features a cushion-cut diamond measuring 8.54 x 7.94 x 5.51 mm and weighing 3.01 carats, enhanced by full-cut diamonds weighing a total of approximately 2.45 carats, set in platinum. A GIA Laboratory report # 6147922581, dated August 20, 2012, stating G color, VS2 clarity, accompanies the center diamond. Gross weight 8.47 grams.
Size: 3-3/4 (sizeable with caution)","SOLD ON DEC 10, 2014 FOR: $37,500.00"
24,"Condition Report*:
Diamond Average Color: J-K-L
Diamond Certification No: 5161691431
Diamond Lab: GIA
Diamond Average Clarity: SI
Diamond Shapes: Round Brilliant-cut, Tapered Baguette-cut
Diamond Count: 1 - 25
Overall Condition: Very Good
Notes: The ultimate in timeless elegance. Baguette-cut diamonds fall in the J-K-L color range and SI clarity range.","Diamond, Platinum Ring
The ring features a round brilliant-cut diamond measuring 11.52 - 11.81 x 6.55 mm and weighing 5.51 carats, enhanced by tapered baguette-cut diamonds weighing a total of approximately 0.50 carat, set in platinum. A GIA Laboratory report # 5161691431, dated October 20, 2014 stating L color, SI1 clarity, accompanies the center diamond. Gross weight 8.01 grams.
Size: 5-3/4 (with sizing horseshoe, sizeable)","SOLD ON DEC 10, 2014 FOR: $37,500.00"
25,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Certification No: 2151980377
Diamond Lab: GIA
Diamond Average Clarity: VS
Diamond Shapes: Round Brilliant-cut, Radiant-cut
Diamond Count: 1 - 25
Overall Condition: Very Good
Notes: Subtle gold detail down the sides of the ring.","Diamond, Platinum, Gold Ring
The ring features a round brilliant-cut diamond measuring 9.35 x 9.32 x 5.91 mm and weighing 3.16 carats, enhanced by radiant-cut diamonds weighing a total of approximately 0.50 carat, set in platinum and 18k gold. A GIA Laboratory report # 2151980377, dated March 5, 2014 stating I color, VS2 clarity, accompanies the center diamond. Gross weight 11.52 grams.
Size: 4 (sizeable)","SOLD ON APR 29, 2014 FOR: $37,500.00"
26,"Condition Report*:
Diamond Average Color: D-E-F
Diamond Color: Fancy Intense Yellow
Diamond Certification No: US 904345601D
Diamond Lab: EGL
Diamond Average Clarity: VS
Diamond Shapes: Oval-shape, Full-cut
Diamond Count: 51 - 75
Overall Condition: Very Good
Notes: A stunning ring - must see!","Fancy Intense Yellow Diamond, Diamond, Platinum, Gold Ring
The ring features an oval-shaped yellow diamond measuring 11.90 x 9.00 x 6.20 mm and weighing 5.87 carats, set in 18k gold, enhanced by full-cut diamonds weighing a total of 1.12 carats, set in platinum. An EGL Laboratory report #US 904345601D, dated December 5, 2011, stating Fancy Intense Yellow color, VS1 clarity, accompanies the center diamond. Gross weight 9.60 grams.
Size: 6-1/4 (sizeable)","SOLD ON APR 29, 2013 FOR: $37,500.00"
27,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Average Clarity: VS
Diamond Shapes: Baguette-cut, Full-cut
Diamond Count: 51 - 75
Gem Type: Emerald
Gem Certification No: 1152253823
Gem Lab: GIA
Gem Average Clarity: Good
Gem Shape: Octagonal-shaped
Gem Count: 1 - 25
Overall Condition: Very Good
Notes: A fabulous, well-made ring. Sizing bumps in the shank of the ring.","Emerald, Diamond, Platinum Ring
The ring features an octagonal-shaped emerald measuring 11.70 x 11.48 x 7.80 mm and weighing 6.34 carats, enhanced by baguette-cut diamonds weighing a total of approximately 1.50 carats, accented by full-cut diamonds weighing a total of approximately 1.50 carats, set in platinum. The emerald is accompanied by a GIA Laboratory report # 1152253823 dated February 28, 2013 stating Natural Beryl, Colombian Origin, Indications of Clarity Enhancement (F1). Total diamond weight is approximately 3.00 carats. Gross weight 17.85 grams.
Size: 6 (sizeable)","SOLD ON APR 29, 2013 FOR: $37,500.00"
28,"Condition Report*:
Diamond Average Color: M+
Diamond Certification No: 2141913230, 2141913216
Diamond Lab: GIA
Diamond Average Clarity: VS
Diamond Shapes: Round Brilliant-cut, Full-cut
Diamond Count: 100+
Overall Condition: Excellent
Notes: A stunning bypass ring! There is a small sizing bar at the base of the shank. Surrounding diamonds are in the G-H-I color range.","Diamond, Gold Ring
The bypass ring features round brilliant-cut diamonds, one measuring 9.39 - 9.46 x 5.76 mm and weighing 3.11 carats, and one measuring 9.23 - 9.36 x 5.76 mm and weighing 3.08 carats, enhanced by full-cut diamonds weighing a total of approximately 2.50 carats, set in 18k gold. Two GIA Laboratory reports # 2141913230 dated August 7, 2012, stating 3.11 carats, L color, VS2 clarity, and # 2141913216, dated August 13, 2012, stating 3.08 carats, M color, VS1 clarity, accompany the main diamonds. Total diamond weight is approximately 8.69 carats. Gross weight 19.02 grams.
Size: 7 (sizeable)","SOLD ON DEC 3, 2012 FOR: $37,500.00"
29,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Color: Fancy Light to Fancy Yellow
Diamond Certification No: 1142892719
Diamond Lab: GIA Laboratory
Diamond Average Clarity: VS
Diamond Shapes: Radiant, full cut
Diamond Count: 51 - 75
Overall Condition: Excellent","Colored Diamond, Diamond, Gold Ring
The ring features a radiant-cut fancy light to fancy yellow diamond measuring 11.35 x 7.70 x 5.70 mm and weighing approximately 4.69 carats, accented by full cut diamonds, set in an 18k white and yellow gold. Total diamond weight is approximately 4.95 carats. A GIA Laboratory report # 1142892719 dated July 31, 2012, stating Fancy Light to Fancy Yellow, Natural Color, accompanies the center diamond. Gross weight 6.40 grams.
Size: 5-3/4 (sizeable)","SOLD ON DEC 3, 2012 FOR: $37,500.00"
30,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: SI
Shape(s): Baguette-cut
Count: 1 - 25

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 1186803308
Carat: 3.89
Color: H
Clarity: VS1
Shape: Cut-Cornered Rectangular Step Cut

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: A truly splendid ring. Tests as platinum. Accompanied by a box. One baguette-cut diamond is chipped.","Diamond, Platinum Ring
The ring features a rectangular step-cut diamond measuring 9.37 x 8.66 x 6.33 mm and weighing 3.89 carats, accented by baguette-cut diamonds weighing a total of approximately 0.15 carat, set in platinum. A GIA report # 1186803308, dated October 11, 2017, stating H color, VS1 clarity, accompanies the center stone. Gross weight 4.50 grams.
Size: 6-1/4 (sizeable)

Property of the Elenita and Joseph Epes Brown Estate, Montana","SOLD ON DEC 4, 2017 FOR: $37,400.00"
